====================================================================================================
全部精灵评分排行榜 (共135只)
====================================================================================================
排名   ID                  名称              属性                  总分      种族      属性      特性      技能     速度奖
   2. 拍击(普通/魔法) 能耗1 威力60  对敌方精灵造成魔法伤害。
   3. 瘴气喷射(毒/魔法) 能耗3 威力100  对敌方精灵造成魔法伤害。
   4. 毒液渗透(毒/魔法) 能耗5 威力120  造成魔伤，每拥有1层中毒效果，本技能能耗-1，赋予1层中毒。

40. 龙鱼 (水/龙) 总分:41.4
   1. 龙之利爪(龙/物理) 能耗3 威力130  蓄力，造成物伤并吸血50%。
   2. 龙息环爆(龙/魔法) 能耗1 威力50  造成魔伤，应对状态：下次技能无需蓄力。
   3. 潮涌(水/物理) 能耗2 威力80  对敌方精灵造成物理伤害。
   4. 角击(龙/魔法) 能耗2 威力80  对敌方精灵造成魔法伤害。

41. 黑羽夫人 (翼/恶) 总分:41.3
   1. 灾厄(恶/物理) 能耗1 威力150  对自己造成物伤，应对状态：改为对敌方造成物伤。
   2. 鸣叫(翼/魔法) 能耗0 威力40  对敌方精灵造成魔法伤害。
   3. 迫害(恶/物理) 能耗0 威力40  对敌方精灵造成物理伤害。
   4. 翼击(翼/魔法) 能耗3 威力50  造成魔伤，迅捷。

42. 魔眷鸟 (萌/翼) 总分:41.1
   1. 龙卷风(翼/物理) 能耗5 威力60  造成物伤，迅捷，应对状态：本次技能威力变为1.5倍。
   2. 超级糖果(萌/物理) 能耗3 威力100  造成物伤，自己获得萌化：本次技能威力+60。
   3. 啄击(翼/物理) 能耗0 威力15  造成物伤，2连击。
   4. 扇风(翼/物理) 能耗3 威力70  造成物伤，若先于敌方攻击，本次技能威力+50%。

43. 岚鸟（春天的样子） (翼) 总分:41.0
   1. 龙卷风(翼/物理) 能耗5 威力60  造成物伤，迅捷，应对状态：本次技能威力变为1.5倍。
   2. 羽刃(翼/物理) 能耗2 威力70  造成物伤，应对状态：回合结束使敌方紧急脱离。
   3. 啄击(翼/物理) 能耗0 威力15  造成物伤，2连击。
   4. 俯冲猛击(翼/物理) 能耗5 威力140  对敌方精灵造成物理伤害。

44. 电球咩咩 (电) 总分:40.9
   1. 球状闪电(电/物理) 能耗1 威力60  对敌方精灵造成物理伤害。
   2. 感电(电/魔法) 能耗2 威力60  造成魔伤，每离场1次，本技能使用次数永久+1。
   3. 先发制人(普通/物理) 能耗2 威力55  造成物理伤害，先手+1。
   4. 强制重启(电/魔法) 能耗3 威力80  造成魔伤，应对状态：回合结束时使敌方精灵返场。

45. 幽冥眼（睁眼的样子） (幽) 总分:40.8
   1. 鬼火(幽/魔法) 能耗0 威力30  造成魔伤，自己回复1能量。
   2. 恐吓(幽/魔法) 能耗2 威力80  对敌方精灵造成魔法伤害。
   3. 幽灵爆发(幽/魔法) 能耗5 威力140  对敌方精灵造成魔法伤害。
   4. 许愿星(普通/魔法) 能耗3 威力100  对敌方精灵造成魔法伤害。

46. 皇家狮鹫（高山地的样子） (翼) 总分:40.3
   1. 龙卷风(翼/物理) 能耗5 威力60  造成物伤，迅捷，应对状态：本次技能威力变为1.5倍。
   2. 羽刃(翼/物理) 能耗2 威力70  造成物伤，应对状态：回合结束使敌方紧急脱离。
   3. 啄击(翼/物理) 能耗0 威力15  造成物伤，2连击。
   4. 扇风(翼/物理) 能耗3 威力70  造成物伤，若先于敌方攻击，本次技能威力+50%。

47. 画间沉铁兽 (普通/武) 总分:40.3
   1. 先发制人(普通/物理) 能耗2 威力55  造成物理伤害，先手+1。
   2. 扫尾(普通/物理) 能耗2 威力80  对敌方精灵造成物理伤害。
   3. 飞踢(普通/物理) 能耗3 威力100  对敌方精灵造成物理伤害。
   4. 许愿星(普通/魔法) 能耗3 威力100  对敌方精灵造成魔法伤害。

48. 梦悠悠（穿星星睡衣的样子） (幽/光) 总分:40.1
   1. 拍击(普通/魔法) 能耗1 威力60  对敌方精灵造成魔法伤害。
   2. 恐吓(幽/魔法) 能耗2 威力80  对敌方精灵造成魔法伤害。
   3. 幽灵爆发(幽/魔法) 能耗5 威力140  对敌方精灵造成魔法伤害。
   4. 背袭(幽/魔法) 能耗2 威力30  造成魔伤，若敌方能量等于0，造成20倍伤害。

49. 烈火守护 (火) 总分:40.1
   1. 火焰冲锋(火/物理) 能耗1 威力60  对敌方精灵造成物理伤害。
   2. 闪燃(火/物理) 能耗1 威力35  造成物伤，应对状态：本次技能威力变为4倍。
   3. 火云车(火/物理) 能耗5 威力140  对敌方精灵造成物理伤害。
   4. 双响炮(火/物理) 能耗1 威力25  造成物伤，2连击。

50. 酷拉 (电) 总分:39.7
   1. 球状闪电(电/物理) 能耗1 威力60  对敌方精灵造成物理伤害。
   2. 雷暴(电/魔法) 能耗1 威力55  造成魔伤，迸发：本技能获得所有生效过的迸发效果，每获得1种，本技能能耗+1，威力+10。
   3. 超导加速(电/魔法) 能耗2 威力60  造成魔伤，自身获得速度+30。
   4. 超导(电/魔法) 能耗3 威力95  造成魔伤，迸发：本技能能耗-1。

51. 迷迷箱怪 (机械/幻) 总分:39.7 [注意: 力竭时敌方获得攻防+20%]
   1. 粒子对撞(幻/物理) 能耗0 威力40  对敌方精灵造成物理伤害。
   2. 星云漩涡(幻/物理) 能耗1 威力60  对敌方精灵造成物理伤害。
   3. 离子震荡(机械/魔法) 能耗1 威力55  造成魔伤，本技能位于3号位时，威力+40。传动1。
   4. 后发制人(普通/物理) 能耗3 威力140  造成物理伤害，先手-1。

52. 荆棘电环 (电) 总分:39.4
   1. 电流(电/魔法) 能耗0 威力40  对敌方精灵造成魔法伤害。
   2. 导电撞击(电/物理) 能耗0 威力40  对敌方精灵造成物理伤害。
   3. 交叉闪电(电/物理) 能耗3 威力100  对敌方精灵造成物理伤害。
   4. 先发制人(普通/物理) 能耗2 威力55  造成物理伤害，先手+1。

53. 花衣蝶 (虫/草) 总分:39.0
   1. 啃咬(虫/物理) 能耗0 威力40  造成物伤，1连击，本技能会受奉献影响，每被影响1次，能耗永久+1。
   2. 飞叶(草/物理) 能耗0 威力40  对敌方精灵造成物理伤害。
   3. 花香(草/魔法) 能耗1 威力60  对敌方精灵造成魔法伤害。
   4. 汲取(草/魔法) 能耗1 威力30  造成魔伤，并吸血100%。

54. 暮星辰 (幻/翼) 总分:38.9
   1. 鸣叫(翼/魔法) 能耗0 威力40  对敌方精灵造成魔法伤害。
   2. 坍缩(幻/魔法) 能耗3 威力85  造成魔伤，若击败敌方，自己获得魔攻+50%。
   3. 翼击(翼/魔法) 能耗3 威力50  造成魔伤，迅捷。
   4. 大爆炸(幻/魔法) 能耗3 威力100  对敌方精灵造成魔法伤害。

55. 芋香巨角蛛 (虫/毒) 总分:38.7
   1. 蛰针(虫/物理) 能耗0 威力40  对敌方精灵造成物理伤害。
   2. 啃咬(虫/物理) 能耗0 威力40  造成物伤，1连击，本技能会受奉献影响，每被影响1次，能耗永久+1。
   3. 毒泡泡(毒/魔法) 能耗0 威力40  对敌方精灵造成魔法伤害。
   4. 落星(普通/物理) 能耗0 威力40  对敌方精灵造成物理伤害。

56. 波多西 (机械/地) 总分:38.6
   1. 地刺(地/物理) 能耗3 威力95  造成物伤，应对状态：额外打断被应对技能。
   2. 先发制人(普通/物理) 能耗2 威力55  造成物理伤害，先手+1。
   3. 齿轮切开(机械/物理) 能耗6 威力145  造成物伤，本技能位于1号或3号位时能耗-2。传动1。
   4. 齿轮扭矩(机械/物理) 能耗3 威力60  造成物伤，每变化1次位置，本技能威力永久+20。

57. 兽花蕾 (光/草) 总分:38.5
   1. 透射(光/物理) 能耗1 威力60  对敌方精灵造成物理伤害。
   2. 汲取(草/魔法) 能耗1 威力30  造成魔伤，并吸血100%。
   3. 顶端优势(草/物理) 能耗3 威力100  对敌方精灵造成物理伤害。
   4. 叶绿光束(草/魔法) 能耗4 威力120  对敌方精灵造成魔法伤害。

58. 斑枭 (翼) 总分:38.5
   1. 鸣叫(翼/魔法) 能耗0 威力40  对敌方精灵造成魔法伤害。
   2. 龙卷风(翼/物理) 能耗5 威力60  造成物伤，迅捷，应对状态：本次技能威力变为1.5倍。
   3. 羽刃(翼/物理) 能耗2 威力70  造成物伤，应对状态：回合结束使敌方紧急脱离。
   4. 回旋风暴(翼/魔法) 能耗3 威力100  对敌方精灵造成魔法伤害。

59. 琉璃水母 (水/毒) 总分:38.2
   1. 甩水(水/魔法) 能耗0 威力30  造成魔伤，自己回复1能量。
   2. 瘴气喷射(毒/魔法) 能耗3 威力100  对敌方精灵造成魔法伤害。
   3. 激流(水/魔法) 能耗4 威力120  对敌方精灵造成魔法伤害。
   4. 毒液渗透(毒/魔法) 能耗5 威力120  造成魔伤，每拥有1层中毒效果，本技能能耗-1，赋予1层中毒。

60. 窃光蚊 (恶/光) 总分:38.2
   1. 灾厄(恶/物理) 能耗1 威力150  对自己造成物伤，应对状态：改为对敌方造成物伤。
   2. 迫害(恶/物理) 能耗0 威力40  对敌方精灵造成物理伤害。
   3. 跌落(恶/物理) 能耗3 威力120  造成大量物伤，自己获得物攻-50%，应对状态：改为获得物攻+50%。
   4. 蝙蝠(恶/物理) 能耗2 威力60  造成物伤，吸血100%。

61. 疾光千兽 (光) 总分:38.0
   1. 透射(光/物理) 能耗1 威力60  对敌方精灵造成物理伤害。
   2. 光刃(光/物理) 能耗4 威力120  对敌方精灵造成物理伤害。
   3. 先发制人(普通/物理) 能耗2 威力55  造成物理伤害，先手+1。
   4. 折射(光/魔法) 能耗4 威力50  造成魔伤，携带其他系别技能会给本技能带来不同效果。

62. 鸭吉吉（起来鸭） (普通) 总分:37.7
   1. 猛烈撞击(普通/物理) 能耗1 威力60  对敌方精灵造成物理伤害。
   2. 扫尾(普通/物理) 能耗2 威力80  对敌方精灵造成物理伤害。
   3. 见招拆招(普通/物理) 能耗2 威力55  造成物伤，若上回合使用状态技能，本次技能威力+50。
   4. 旋转突击(普通/物理) 能耗3 威力30  造成物伤，3连击。

63. 花影羚羊 (幽/恶) 总分:37.7
   1. 恶能量(恶/物理) 能耗1 威力60  对敌方精灵造成物理伤害。
   2. 幻象(幽/物理) 能耗1 威力60  对敌方精灵造成物理伤害。
   3. 坟场搏击(幽/物理) 能耗4 威力180  造成物伤，敌方每有1能量，本次技能威力-10%。
   4. 极限撕裂(恶/物理) 能耗4 威力140  造成物伤，若生命高于50%，使用后自己获得双攻-50%。

64. 贝古斯 (机械/火) 总分:37.6
   1. 离子震荡(机械/魔法) 能耗1 威力55  造成魔伤，本技能位于3号位时，威力+40。传动1。
   2. 燃尽(火/魔法) 能耗4 威力155  造成魔伤，敌方每失去5%生命，本次技能威力-5。
   3. 磁暴(机械/魔法) 能耗3 威力95  造成魔伤，本技能位于1号或3号位时，威力+30。传动1。
   4. 烈焰风暴(火/魔法) 能耗4 威力75  造成魔伤，敌方获得6层灼烧。

65. 尖嘴狐仙 (火/冰) 总分:37.0
   1. 冷风(冰/魔法) 能耗1 威力60  对敌方精灵造成魔法伤害。
   2. 暴风雪(冰/物理) 能耗3 威力85  造成物伤，敌方获得1层冻结。
   3. 炎枪(火/魔法) 能耗3 威力100  对敌方精灵造成魔法伤害。
   4. 火焰切割(火/物理) 能耗3 威力100  对敌方精灵造成物理伤害。

66. 春花兔 (草) 总分:36.9
   1. 汲取(草/魔法) 能耗1 威力30  造成魔伤，并吸血100%。
   2. 重击(普通/物理) 能耗2 威力100  造成物伤，每次使用后，本技能能耗永久+1。
   3. 棘突(草/魔法) 能耗3 威力100  对敌方精灵造成魔法伤害。
   4. 筛管奔流(草/物理) 能耗3 威力80  造成物伤，自己生命大于80%时，本次技能威力+75。

67. 燃薪虫 (火/草) 总分:36.8
   1. 种子弹(草/物理) 能耗0 威力30  造成物伤，自己回复1能量。
   2. 火焰冲锋(火/物理) 能耗1 威力60  对敌方精灵造成物理伤害。
   3. 灼伤(火/物理) 能耗4 威力120  对敌方精灵造成物理伤害。
   4. 抽枝(草/物理) 能耗4 威力85  造成物伤，应对状态：自己回复50%生命和5能量。

68. 超能阿布 (龙) 总分:36.8
   1. 升龙咆哮(龙/魔法) 能耗3 威力200  蓄力，对敌方造成魔法伤害。
   2. 龙之利爪(龙/物理) 能耗3 威力130  蓄力，造成物伤并吸血50%。
   3. 龙炮(龙/物理) 能耗3 威力100  对敌方精灵造成物理伤害。
   4. 先发制人(普通/物理) 能耗2 威力55  造成物理伤害，先手+1。

69. 叮叮恶魔 (恶/翼) 总分:36.7
   1. 魔爪(恶/物理) 能耗0 威力30  造成物伤，自己回复1能量。
   2. 鹰爪(翼/物理) 能耗1 威力60  对敌方精灵造成物理伤害。
   3. 抓挠(普通/物理) 能耗0 威力30  造成物伤，自己回复1能量。
   4. 龙卷风(翼/物理) 能耗5 威力60  造成物伤，迅捷，应对状态：本次技能威力变为1.5倍。

70. 古卷匣魔像 (普通/武) 总分:36.7
   1. 粒子对撞(幻/物理) 能耗0 威力40  对敌方精灵造成物理伤害。
   2. 先发制人(普通/物理) 能耗2 威力55  造成物理伤害，先手+1。
   3. 许愿星(普通/魔法) 能耗3 威力100  对敌方精灵造成魔法伤害。
   4. 影袭(武/物理) 能耗3 威力100  对敌方精灵造成物理伤害。

71. 寒音蛇（本命年的样子） (萌/毒) 总分:36.7
   1. 溃烂触碰(毒/物理) 能耗1 威力60  对敌方精灵造成物理伤害。
   2. 魅惑(萌/魔法) 能耗1 威力60  对敌方精灵造成魔法伤害。
   3. 超级糖果(萌/物理) 能耗3 威力100  造成物伤，自己获得萌化：本次技能威力+60。
   4. 毒液渗透(毒/魔法) 能耗5 威力120  造成魔伤，每拥有1层中毒效果，本技能能耗-1，赋予1层中毒。

72. 卡洛儿 (水/萌) 总分:36.3
   1. 泡沫(水/物理) 能耗1 威力60  对敌方精灵造成物理伤害。
   2. 肥皂泡(水/魔法) 能耗1 威力60  对敌方精灵造成魔法伤害。
   3. 潮涌(水/物理) 能耗2 威力80  对敌方精灵造成物理伤害。
   4. 水刃(水/物理) 能耗4 威力115  造成物伤，应对状态：本技能能耗永久-4。

73. 月亮砣（下弦的样子） (毒/萌) 总分:36.3
   1. 毒泡泡(毒/魔法) 能耗0 威力40  对敌方精灵造成魔法伤害。
   2. 鞭打(萌/物理) 能耗0 威力40  对敌方精灵造成物理伤害。
   3. 毒针(毒/物理) 能耗0 威力20  造成物伤，敌方获得1层中毒效果。
   4. 毒沼(毒/物理) 能耗2 威力80  对敌方精灵造成物理伤害。

74. 卡瓦重（雪山附近的样子） (草/冰) 总分:36.2
   1. 冰锥(冰/物理) 能耗0 威力40  对敌方精灵造成物理伤害。
   2. 暴风雪(冰/物理) 能耗3 威力85  造成物伤，敌方获得1层冻结。
   3. 顶端优势(草/物理) 能耗3 威力100  对敌方精灵造成物理伤害。
   4. 筛管奔流(草/物理) 能耗3 威力80  造成物伤，自己生命大于80%时，本次技能威力+75。

75. 朔夜伊芙 (恶) 总分:36.1
   1. 魔爪(恶/物理) 能耗0 威力30  造成物伤，自己回复1能量。
   2. 掠夺(恶/魔法) 能耗1 威力60  对敌方精灵造成魔法伤害。
   3. 蝙蝠(恶/物理) 能耗2 威力60  造成物伤，吸血100%。
   4. 音波弹(普通/魔法) 能耗1 威力60  造成魔伤，1连击。

76. 龙息帕尔 (恶) 总分:36.0 [注意: 被击败时额外损失魔力]
   1. 蝙蝠(恶/物理) 能耗2 威力60  造成物伤，吸血100%。
   2. 撕裂(恶/物理) 能耗3 威力85  造成物伤，应对状态：本次攻击吸血100%。
   3. 诋毁(恶/物理) 能耗2 威力80  对敌方精灵造成物理伤害。
   4. 极限撕裂(恶/物理) 能耗4 威力140  造成物伤，若生命高于50%，使用后自己获得双攻-50%。

77. 棋绮后（黑子） (武/地) 总分:35.8
   1. 气波(武/魔法) 能耗0 威力40  对敌方精灵造成魔法伤害。
   2. 寸拳(武/物理) 能耗0 威力30  造成物伤，自己回复1能量。
   3. 猛烈撞击(普通/物理) 能耗1 威力60  对敌方精灵造成物理伤害。
   4. 跺地(地/物理) 能耗2 威力80  对敌方精灵造成物理伤害。

78. 圆号鱼 (水) 总分:35.7
   1. 甩水(水/魔法) 能耗0 威力30  造成魔伤，自己回复1能量。
   2. 肥皂泡(水/魔法) 能耗1 威力60  对敌方精灵造成魔法伤害。
   3. 水炮(水/魔法) 能耗5 威力110  造成魔伤，每次使用后，本技能能耗永久-1。
   4. 许愿星(普通/魔法) 能耗3 威力100  对敌方精灵造成魔法伤害。

79. 里拉鳐 (水) 总分:35.7
   1. 水弹(水/魔法) 能耗0 威力40  对敌方精灵造成魔法伤害。
   2. 泡沫(水/物理) 能耗1 威力60  对敌方精灵造成物理伤害。
   3. 水幕冲击(水/物理) 能耗3 威力100  对敌方精灵造成物理伤害。
   4. 水波术(水/魔法) 能耗6 威力90  造成魔伤，回合结束时，本技能威力永久+20。

80. 獠牙猪 (冰/地) 总分:35.4
   1. 暴风雪(冰/物理) 能耗3 威力85  造成物伤，敌方获得1层冻结。
   2. 滚雪球(冰/物理) 能耗3 威力55  造成物伤，敌方获得2层冻结，应对状态：额外获得2层，本次技能威力翻倍。
   3. 地刺(地/物理) 能耗3 威力95  造成物伤，应对状态：额外打断被应对技能。
   4. 岩脉崩毁(地/物理) 能耗4 威力120  造成物伤，本技能能耗固定为4。

81. 学院呱呱 (武) 总分:35.3
   1. 气波(武/魔法) 能耗0 威力40  对敌方精灵造成魔法伤害。
   2. 落星(普通/物理) 能耗0 威力40  对敌方精灵造成物理伤害。
   3. 寸拳(武/物理) 能耗0 威力30  造成物伤，自己回复1能量。
   4. 防御(普通/变化) 能耗1 --  减伤70%，应对攻击。

82. 利灯鱼 (水/电) 总分:35.2
   1. 水弹(水/魔法) 能耗0 威力40  对敌方精灵造成魔法伤害。
   2. 超导(电/魔法) 能耗3 威力95  造成魔伤，迸发：本技能能耗-1。
   3. 激流(水/魔法) 能耗4 威力120  对敌方精灵造成魔法伤害。
   4. 水光冲击(水/魔法) 能耗5 威力140  对敌方精灵造成魔法伤害。

83. 夜枭 (幽) 总分:34.8
   1. 灵媒(幽/魔法) 能耗3 威力100  对敌方精灵造成魔法伤害。
   2. 惊吓盒子(幽/物理) 能耗3 威力85  造成物伤，应对状态：使敌方失去6能量。
   3. 幽灵爆发(幽/魔法) 能耗5 威力140  对敌方精灵造成魔法伤害。
   4. 嘲弄(幽/变化) 能耗2 --  自己获得魔攻+70%，若敌方本回合替换精灵，自己获得速度+70。

84. 卷毛鸭 (草/武) 总分:34.7
   1. 崩拳(武/物理) 能耗2 威力60  造成物伤，应对状态：自己获得物攻+100%。
   2. 顶端优势(草/物理) 能耗3 威力100  对敌方精灵造成物理伤害。
   3. 一拳(武/物理) 能耗5 威力140  对敌方精灵造成物理伤害。
   4. 先发制人(普通/物理) 能耗2 威力55  造成物理伤害，先手+1。

85. 溯源钟 (幻/机械) 总分:34.7

86. 多灵主 (幽) 总分:34.5
   1. 落星(普通/物理) 能耗0 威力40  对敌方精灵造成物理伤害。
   2. 鸣叫(翼/魔法) 能耗0 威力40  对敌方精灵造成魔法伤害。
   3. 鬼火(幽/魔法) 能耗0 威力30  造成魔伤，自己回复1能量。
   4. 坟场搏击(幽/物理) 能耗4 威力180  造成物伤，敌方每有1能量，本次技能威力-10%。

87. 千棘盔（磨损的样子） (水/毒) 总分:34.4
   1. 甩水(水/魔法) 能耗0 威力30  造成魔伤，自己回复1能量。
   2. 毒液渗透(毒/魔法) 能耗5 威力120  造成魔伤，每拥有1层中毒效果，本技能能耗-1，赋予1层中毒。
   3. 感染病(毒/魔法) 能耗4 威力85  造成魔伤，若击败敌方则将中毒转化为印记。
   4. 腐蚀酸液(毒/魔法) 能耗2 威力35  造成魔伤，敌方获得2层中毒。

88. 格斗小五 (武) 总分:34.4

89. 记忆石 (地) 总分:34.0
   1. 扬沙(地/物理) 能耗1 威力60  对敌方精灵造成物理伤害。
   2. 跺地(地/物理) 能耗2 威力80  对敌方精灵造成物理伤害。
   3. 陨石(地/魔法) 能耗3 威力100  对敌方精灵造成魔法伤害。
   4. 裂石(地/物理) 能耗3 威力85  造成物伤，应对状态：敌方获得物防-80%。

90. 泥吼牙 (地/翼) 总分:34.0
   1. 落石(地/物理) 能耗1 威力55  造成物伤，1连击。
   2. 羽刃(翼/物理) 能耗2 威力70  造成物伤，应对状态：回合结束使敌方紧急脱离。
   3. 地刺(地/物理) 能耗3 威力95  造成物伤，应对状态：额外打断被应对技能。
   4. 啄击(翼/物理) 能耗0 威力15  造成物伤，2连击。

91. 乌拉塔（极夜的样子） (恶/冰) 总分:33.9
   1. 冰锥(冰/物理) 能耗0 威力40  对敌方精灵造成物理伤害。
   2. 滚雪球(冰/物理) 能耗3 威力55  造成物伤，敌方获得2层冻结，应对状态：额外获得2层，本次技能威力翻倍。
   3. 诋毁(恶/物理) 能耗2 威力80  对敌方精灵造成物理伤害。
   4. 极限撕裂(恶/物理) 能耗4 威力140  造成物伤，若生命高于50%，使用后自己获得双攻-50%。

92. 晶石蜗（烧蓝黄金的样子） (光/地) 总分:33.7
   1. 脉冲光线(光/魔法) 能耗0 威力40  对敌方精灵造成魔法伤害。
   2. 泥浆(地/魔法) 能耗0 威力40  对敌方精灵造成魔法伤害。
   3. 透射(光/物理) 能耗1 威力60  对敌方精灵造成物理伤害。
   4. 扬沙(地/物理) 能耗1 威力60  对敌方精灵造成物理伤害。

93. 陨星虫 (虫) 总分:33.7
   1. 啃咬(虫/物理) 能耗0 威力40  造成物伤，1连击，本技能会受奉献影响，每被影响1次，能耗永久+1。
   2. 虫蛊(虫/魔法) 能耗3 威力100  对敌方精灵造成魔法伤害。
   3. 网缚(虫/物理) 能耗2 威力60  造成物伤，敌方获得物防-30%。
   4. 虫击(虫/物理) 能耗3 威力90  造成物伤，应对状态：本次技能威力变为2倍，无视敌方系别抵抗。

94. 火焰猿 (火) 总分:33.6 [注意: 初始能量为0，需火系技能回能]
   1. 炎息(火/物理) 能耗0 威力40  对敌方精灵造成物理伤害。
   2. 吹火(火/物理) 能耗1 威力50  造成物伤，每次使用后，本技能威力永久+20。
   3. 闪燃(火/物理) 能耗1 威力35  造成物伤，应对状态：本次技能威力变为4倍。
   4. 持续高温(火/魔法) 能耗2 威力70  造成魔伤，应对状态：下次攻击技能威力翻倍。

95. 红绒十字 (火/萌) 总分:33.4
   1. 热气(火/魔法) 能耗0 威力40  对敌方精灵造成魔法伤害。
   2. 火爪(火/魔法) 能耗1 威力60  对敌方精灵造成魔法伤害。
   3. 飞吻(萌/魔法) 能耗2 威力80  对敌方精灵造成魔法伤害。
   4. 破罐破摔(萌/魔法) 能耗3 威力80  造成魔伤，自己有减益时，本次技能威力+60。

96. 怒目怂猫 (武) 总分:32.9
   1. 气波(武/魔法) 能耗0 威力40  对敌方精灵造成魔法伤害。
   2. 重击(普通/物理) 能耗2 威力100  造成物伤，每次使用后，本技能能耗永久+1。
   3. 截拳(武/物理) 能耗3 威力85  造成物伤，应对状态：额外造成打断，回复该技能能耗的能量。
   4. 一拳(武/物理) 能耗5 威力140  对敌方精灵造成物理伤害。

97. 月牙雪熊 (冰/幻) 总分:32.9
   1. 冰锥(冰/物理) 能耗0 威力40  对敌方精灵造成物理伤害。
   2. 粒子对撞(幻/物理) 能耗0 威力40  对敌方精灵造成物理伤害。
   3. 暴风雪(冰/物理) 能耗3 威力85  造成物伤，敌方获得1层冻结。
   4. 双星(幻/物理) 能耗3 威力100  对敌方精灵造成物理伤害。

98. 幻影灵菇 (幽/草) 总分:32.8
   1. 鬼火(幽/魔法) 能耗0 威力30  造成魔伤，自己回复1能量。
   2. 种子弹(草/物理) 能耗0 威力30  造成物伤，自己回复1能量。
   3. 幻象(幽/物理) 能耗1 威力60  对敌方精灵造成物理伤害。
   4. 汲取(草/魔法) 能耗1 威力30  造成魔伤，并吸血100%。

99. 公平鸽 (普通) 总分:32.8
   1. 拍击(普通/魔法) 能耗1 威力60  对敌方精灵造成魔法伤害。
   2. 先发制人(普通/物理) 能耗2 威力55  造成物理伤害，先手+1。
   3. 天旋地转(普通/物理) 能耗3 威力55  造成物理伤害，先手+1，迸发：本次技能威力+30。
   4. 吞噬(普通/物理) 能耗6 威力135  造成物伤，若释放本技能击败敌方，回复6能量。

100. 冰钻布鲁斯 (冰) 总分:32.6
   1. 暴风雪(冰/物理) 能耗3 威力85  造成物伤，敌方获得1层冻结。
   2. 滚雪球(冰/物理) 能耗3 威力55  造成物伤，敌方获得2层冻结，应对状态：额外获得2层，本次技能威力翻倍。
   3. 冰爪(冰/物理) 能耗2 威力80  对敌方精灵造成物理伤害。
   4. 先发制人(普通/物理) 能耗2 威力55  造成物理伤害，先手+1。

101. 雪灵 (冰) 总分:32.4
   1. 冰锥(冰/物理) 能耗0 威力40  对敌方精灵造成物理伤害。
   2. 丢冰块(冰/物理) 能耗3 威力80  造成物伤，敌方获得速度-30。
   3. 雪替身(冰/变化) 能耗2 --  减伤70%，应对攻击：回复能量，回复值等于被应对技能能耗的2倍。
   4. 冰冻光线(冰/魔法) 能耗7 威力100  造成魔伤，敌方获得全技能能耗+2。

102. 遁地鼠（储水期的样子） (地) 总分:32.3
   1. 抓挠(普通/物理) 能耗0 威力30  造成物伤，自己回复1能量。
   2. 地刺(地/物理) 能耗3 威力95  造成物伤，应对状态：额外打断被应对技能。
   3. 岩脉崩毁(地/物理) 能耗4 威力120  造成物伤，本技能能耗固定为4。
   4. 裂石(地/物理) 能耗3 威力85  造成物伤，应对状态：敌方获得物防-80%。

103. 水泡壳（蜕皮时的样子） (水) 总分:32.2
   1. 肥皂泡(水/魔法) 能耗1 威力60  对敌方精灵造成魔法伤害。
   2. 后发制人(普通/物理) 能耗3 威力140  造成物理伤害，先手-1。
   3. 气泡(水/魔法) 能耗3 威力100  对敌方精灵造成魔法伤害。
   4. 水光冲击(水/魔法) 能耗5 威力140  对敌方精灵造成魔法伤害。

104. 圣代甜甜（杨桃抹茶口味） (冰) 总分:31.7
   1. 风吹雪(冰/魔法) 能耗0 威力30  造成魔伤，自己回复1能量。
   2. 暴风雪(冰/物理) 能耗3 威力85  造成物伤，敌方获得1层冻结。
   3. 极寒领域(冰/魔法) 能耗6 威力105  造成魔伤，若敌方有冻结，本次技能威力+60，应对状态：使冻结翻倍。
   4. 碎冰冰(冰/魔法) 能耗3 威力40  造成魔伤，敌方每有1层冻结，本次技能威力+20。

105. 巨噬针鼹 (普通) 总分:31.4
   1. 抓挠(普通/物理) 能耗0 威力30  造成物伤，自己回复1能量。
   2. 先发制人(普通/物理) 能耗2 威力55  造成物理伤害，先手+1。
   3. 阻断(普通/魔法) 能耗2 威力70  造成魔伤，应对状态：额外打断被应对技能。
   4. 偷袭(普通/物理) 能耗3 威力85  造成物伤，应对状态：本次技能威力变为3倍。

106. 机甲小子 (机械) 总分:31.3

107. 火羽 (火/翼) 总分:31.2

108. 石冠王蜥（球球尾巴的样子） (地) 总分:31.1
   1. 泥巴喷射(地/魔法) 能耗1 威力60  对敌方精灵造成魔法伤害。
   2. 落石(地/物理) 能耗1 威力55  造成物伤，1连击。
   3. 音波弹(普通/魔法) 能耗1 威力60  造成魔伤，1连击。
   4. 陨石(地/魔法) 能耗3 威力100  对敌方精灵造成魔法伤害。

109. 巨灵石 (地/幽) 总分:31.1
   1. 鬼火(幽/魔法) 能耗0 威力30  造成魔伤，自己回复1能量。
   2. 泥巴喷射(地/魔法) 能耗1 威力60  对敌方精灵造成魔法伤害。
   3. 幻象(幽/物理) 能耗1 威力60  对敌方精灵造成物理伤害。
   4. 陨石(地/魔法) 能耗3 威力100  对敌方精灵造成魔法伤害。

110. 格斗小八 (武) 总分:31.1
   1. 寸拳(武/物理) 能耗0 威力30  造成物伤，自己回复1能量。
